,Name of compound,Compound ID,molecular_weight,molecular_formula,SMILES
188,Cefazolin,Compound(33255),454.5,C14H14N8O4S3,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O
189,Cefepime,Compound(5479537),480.6,C19H24N6O5S2,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]
190,Cefiderocol,Compound(77843966),752.2,C30H34ClN7O10S2,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4(CCCC4)CCNC(=O)C5=C(C(=C(C=C5)O)O)Cl)C(=O)[O-]
191,Cefixime,Compound(5362065),453.5,C16H15N5O7S2,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O
192,Cefotaxime,Compound(5742673),455.5,C16H17N5O7S2,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O
193,Cefoxitin,Compound(441199),427.5,C16H17N3O7S2,COC1(C2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3
194,Cefradine,Compound(38103),349.4,C16H19N3O4S,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CCC=CC3)N)SC1)C(=O)O
195,Ceftaroline Fosamil,Compound(9852981),684.7,C22H21N8O8PS4,CCON=C(C1=NSC(=N1)NP(=O)(O)O)C(=O)NC2C3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)[O-]
196,Ceftazidime,Compound(5481173),546.6,C22H22N6O7S2,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
197,Ceftobiprole,Compound(135413542),534.6,C20H22N8O6S2,C1CNCC1N2CCC(=CC3=C(N4C(C(C4=O)NC(=O)C(=NO)C5=NSC(=N5)N)SC3)C(=O)O)C2=O
198,Ceftriaxone,Compound(5479530),554.6,C18H18N8O7S3,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O
199,Cefuroxime,Compound(5479529),424.4,C16H16N4O8S,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O
200,Celecoxib,Compound(2662),381.4,C17H14F3N3O2S,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
201,Celiprolol Hydrochloride,Compound(42373),416.0,C20H34ClN3O4,CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C.Cl
203,Ceritinib,Compound(57379345),558.1,C28H36ClN5O3S,CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl
204,Cetirizine Hydrochloride,Compound(55182),461.8,C21H27Cl3N2O3,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl
206,Chenodeoxycholic Acid,Compound(10133),392.6,C24H40O4,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
207,Chloral Hydrate,Compound(2707),165.4,C2H3Cl3O2,C(C(Cl)(Cl)Cl)(O)O
208,Chlorambucil,Compound(2708),304.2,C14H19Cl2NO2,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
209,Chloramphenicol,Compound(5959),323.13,C11H12Cl2N2O5,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
210,Chlordiazepoxide Hydrochloride,Compound(9916),336.2,C16H15Cl2N3O,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O.Cl
211,Chlorhexidine,Compound(9552079),505.4,C22H30Cl2N10,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl
212,Chlormethine,Compound(4033),156.05,C5H11Cl2N,CN(CCCl)CCCl
213,Chloroprocaine Hydrochloride,Compound(441348),307.21,C13H20Cl2N2O2,CCN(CC)CCOC(=O)C1=C(C=C(C=C1)N)Cl.Cl
214,Chloroquine,Compound(2719),319.9,C18H26ClN3,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
215,Chlorphenamine Maleate,Compound(5281068),390.9,C20H23ClN2O4,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O
216,Chlorpromazine Hydrochloride,Compound(6240),355.3,C17H20Cl2N2S,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl
217,Chlortalidone,Compound(2732),338.8,C14H11ClN2O4S,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
218,Cholic Acid,Compound(221493),408.6,C24H40O5,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
219,Choline Salicylate,Compound(54686350),241.28,C12H19NO4,C[N+](C)(C)CCO.C1=CC=C(C(=C1)C(=O)O)[O-]
220,Ciclesonide,Compound(6918155),540.7,C32H44O7,CC(C)C(=O)OCC(=O)C12C(CC3C1(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)OC(O2)C6CCCCC6
222,Cidofovir,Compound(60613),279.19,C8H14N3O6P,C1=CN(C(=O)N=C1N)CC(CO)OCP(=O)(O)O
223,Cilostazol,Compound(2754),369.5,C20H27N5O2,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
224,Cimetidine,Compound(2756),252.34,C10H16N6S,CC1=C(N=CN1)CSCCNC(=NC)NC#N
225,Cinacalcet,Compound(156419),357.4,C22H22F3N,CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F
226,Cinnarizine,Compound(1547484),368.5,C26H28N2,C1CN(CCN1CC=CC2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4
227,Ciprofibrate,Compound(2763),289.15,C13H14Cl2O3,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl
228,Ciprofloxacin,Compound(2764),331.34,C17H18FN3O3,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
229,Cisatracurium,Compound(62887),929.1,C53H72N2O12+2,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C
231,Citalopram,Compound(2771),324.4,C20H21FN2O,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
232,Citric Acid,Compound(311),192.12,C6H8O7,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
233,Cladribine,Compound(20279),285.69,C10H12ClN5O3,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
234,Clarithromycin,Compound(84029),748.0,C38H69NO13,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
235,Clemastine,Compound(26987),343.9,C21H26ClNO,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C
236,Clindamycin,Compound(446598),425.0,C18H33ClN2O5S,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl
237,Clobazam,Compound(2789),300.74,C16H13ClN2O2,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
238,Clobetasol Propionate,Compound(32798),467.0,C25H32ClFO5,CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl
239,Clobetasone Butyrate,Compound(71386),479.0,C26H32ClFO5,CCCC(=O)OC1(C(CC2C1(CC(=O)C3(C2CCC4=CC(=O)C=CC43C)F)C)C)C(=O)CCl
240,Clofarabine,Compound(119182),303.68,C10H11ClFN5O3,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)F)Cl)N
241,Clofazimine,Compound(2794),473.4,C27H22Cl2N4,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl
242,Clomethiazole,Compound(10783),161.65,C6H8ClNS,CC1=C(SC=N1)CCCl
243,Clomifene Citrate,Compound(3033832),598.1,C32H36ClNO8,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
244,Clomipramine Hydrochloride,Compound(68539),351.3,C19H24Cl2N2,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl.Cl
245,Clonazepam,Compound(2802),315.71,C15H10ClN3O3,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
246,Clonidine Hydrochloride,Compound(20179),266.6,C9H10Cl3N3,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl
247,Clopidogrel,Compound(60606),321.8,C16H16ClNO2S,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3
248,Clotrimazole,Compound(2812),344.8,C22H17ClN2,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
249,Clozapine,Compound(135398737),326.8,C18H19ClN4,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
251,Cobicistat,Compound(25151504),776.0,C40H53N7O5S2,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5
252,Cobimetinib,Compound(16222096),531.3,C21H21F3IN3O2,C1CCNC(C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O
253,Codeine Phosphate,Compound(5359227),397.4,C18H24NO7P,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O.OP(=O)(O)O
254,Colchicine,Compound(6167),399.4,C22H25NO6,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
255,Colecalciferol,Compound(5280795),384.6,C27H44O,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
256,Colesevelam Hydrochloride,Compound(60208760),618.2,C31H67Cl3N4O,[H+].CCCCCCCCCCNCC=C.C[N+](C)(C)CCCCCCNCC=C.C=CCN.C1C(O1)CCl.[Cl-].[Cl-]
258,Colestyramine,Compound(70695640),331.9,C21H30ClN,CCC1=CC=C(C=C1)C(C)CCC2=CC=C(C=C2)[N+](C)(C)C.[Cl-]
262,Crizotinib,Compound(11626560),450.3,C21H22Cl2FN5O,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
263,Crotamiton,Compound(688020),203.28,C13H17NO,CCN(C1=CC=CC=C1C)C(=O)C=CC
265,Cyclizine,Compound(6726),266.4,C18H22N2,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3
266,Cyclopentolate Hydrochloride,Compound(22162),327.8,C17H26ClNO3,CN(C)CCOC(=O)C(C1=CC=CC=C1)C2(CCCC2)O.Cl
267,Cyclophosphamide,Compound(2907),261.08,C7H15Cl2N2O2P,C1CNP(=O)(OC1)N(CCCl)CCCl
268,Cycloserine,Compound(6234),102.09,C3H6N2O2,C1C(C(=O)NO1)N
269,Cyproheptadine Hydrochloride,Compound(13770),323.9,C21H22ClN,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1.Cl
270,Cyproterone Acetate,Compound(9880),416.9,C24H29ClO4,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C
271,Cytarabine,Compound(6253),243.22,C9H13N3O5,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
272,Dabigatran Etexilate,Compound(135565674),627.7,C34H41N7O5,CCCCCCOC(=O)NC(=N)C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4
273,Dabrafenib,Compound(44462760),519.6,C23H20F3N5O2S2,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F
274,Dacarbazine,Compound(135398738),182.18,C6H10N6O,CN(C)N=NC1=C(NC=N1)C(=O)N
275,Dacomitinib,Compound(11511120),469.9,C24H25ClFN5O2,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4
280,Danazol,Compound(28417),337.5,C22H27NO2,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5
281,Dantrolene Sodium,Compound(6604100),336.23,C14H9N4NaO5,C1C(=NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+]
282,Dapagliflozin,Compound(9887712),408.9,C21H25ClO6,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl
283,Dapoxetine,Compound(71353),305.4,C21H23NO,CN(C)C(CCOC1=CC=CC2=CC=CC=C21)C3=CC=CC=C3
284,Dapsone,Compound(2955),248.3,C12H12N2O2S,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
286,Darifenacin,Compound(444031),426.5,C28H30N2O2,C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5
287,Darolutamide,Compound(67171867),398.8,C19H19ClN6O2,CC(CN1C=CC(=N1)C2=CC(=C(C=C2)C#N)Cl)NC(=O)C3=NNC(=C3)C(C)O
288,Darunavir,Compound(213039),547.7,C27H37N3O7S,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N
289,Dasabuvir,Compound(56640146),493.6,C26H27N3O5S,CC(C)(C)C1=CC(=CC(=C1OC)C2=CC3=C(C=C2)C=C(C=C3)NS(=O)(=O)C)N4C=CC(=O)NC4=O
290,Dasatinib,Compound(3062316),488.0,C22H26ClN7O2S,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO
291,Daunorubicin,Compound(30323),527.5,C27H29NO10,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
292,Decitabine,Compound(451668),228.21,C8H12N4O4,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O
293,Deferasirox,Compound(214348),373.4,C21H15N3O4,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O
294,Deferiprone,Compound(2972),139.15,C7H9NO2,CC1=C(C(=O)C=CN1C)O
295,Deflazacort,Compound(189821),441.5,C25H31NO6,CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C
297,Delafloxacin,Compound(487101),440.8,C18H12ClF3N4O4,C1C(CN1C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4=C(C=C(C(=N4)N)F)F)F)O
298,Delamanid,Compound(6480466),534.5,C25H25F3N4O6,CC1(CN2C=C(N=C2O1)[N+](=O)[O-])COC3=CC=C(C=C3)N4CCC(CC4)OC5=CC=C(C=C5)OC(F)(F)F
299,Demeclocycline Hydrochloride,Compound(54686764),501.3,C21H22Cl2N2O8,CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.Cl
300,Dequalinium Chloride,Compound(10649),527.6,C30H40Cl2N4,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-]
301,Desferrioxamine Mesilate,Compound(62881),656.8,C26H52N6O11S,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O.CS(=O)(=O)O
302,Desflurane,Compound(42113),168.04,C3H2F6O,C(C(F)(F)F)(OC(F)F)F
303,Desloratadine,Compound(124087),310.8,C19H19ClN2,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
305,Desogestrel,Compound(40973),310.5,C22H30O,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34
306,Dexamethasone,Compound(5743),392.5,C22H29FO5,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
307,Dexamfetamine Sulfate,Compound(5825),368.5,C18H28N2O4S,CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O
308,Dexibuprofen,Compound(39912),206.28,C13H18O2,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
309,Dexketoprofen,Compound(667550),254.28,C16H14O3,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
310,Dexmedetomidine,Compound(5311068),200.28,C13H16N2,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C
311,Dexrazoxane,Compound(71384),268.27,C11H16N4O4,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
312,Diamorphine Hydrochloride,Compound(9844225),405.9,C21H24ClNO5,CC(=O)OC1C=CC2C3CC4=C5C2(C1OC5=C(C=C4)OC(=O)C)CCN3C.Cl
313,Diazepam,Compound(3016),284.74,C16H13ClN2O,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
314,Diazoxide,Compound(3019),230.67,C8H7ClN2O2S,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
315,Diclofenac,Compound(3033),296.1,C14H11Cl2NO2,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
316,Diclofenac Potassium,Compound(23667642),334.2,C14H10Cl2KNO2,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[K+]
317,Diclofenac Sodium,Compound(5018304),318.1,C14H10Cl2NNaO2,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+]
318,Dicobalt Edetate,Compound(71942),406.08,C10H12Co2N2O8,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Co+2].[Co+2]
319,Dicycloverine Hydrochloride,Compound(441344),345.9,C19H36ClNO2,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl
320,Dienogest,Compound(68861),311.4,C20H25NO2,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(CC#N)O
321,Diethylcarbamazine,Compound(3052),199.29,C10H21N3O,CCN(CC)C(=O)N1CCN(CC1)C
322,Diethylstilbestrol,Compound(448537),268.3,C18H20O2,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
323,Diflucortolone Valerate,Compound(91670),478.6,C27H36F2O5,CCCCC(=O)OCC(=O)C1C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C
324,Digoxin,Compound(2724385),780.9,C41H64O14,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
326,Dihydrotachysterol,Compound(5311071),398.7,C28H46O,CC1CCC(CC1=CC=C2CCCC3(C2CCC3C(C)C=CC(C)C(C)C)C)O
327,Diltiazem Hydrochloride,Compound(62920),451.0,C22H27ClN2O4S,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl
328,Dimethyl Fumarate,Compound(637568),144.12,C6H8O4,COC(=O)C=CC(=O)OC
329,Dimeticone,Compound(24705),236.53,C8H24O2Si3,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
330,Dinoprostone,Compound(5280360),352.5,C20H32O5,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O
331,Dipyridamole,Compound(3108),504.6,C24H40N8O4,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
332,Disopyramide,Compound(3114),339.5,C21H29N3O,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
333,Disulfiram,Compound(3117),296.5,C10H20N2S4,CCN(CC)C(=S)SSC(=S)N(CC)CC
334,Dithranol,Compound(2202),226.23,C14H10O3,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O
335,Dobutamine,Compound(36811),301.4,C18H23NO3,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O
336,Docetaxel,Compound(148124),807.9,C43H53NO14,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
337,Docusate Sodium,Compound(23673837),444.6,C20H37NaO7S,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+]
338,Dolutegravir,Compound(54726191),419.4,C20H19F2N3O5,CC1CCOC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O
339,Domperidone,Compound(3151),425.9,C22H24ClN5O2,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
340,Donepezil Hydrochloride,Compound(5741),416.0,C24H30ClNO3,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC.Cl
341,Dopamine Hydrochloride,Compound(65340),189.64,C8H12ClNO2,C1=CC(=C(C=C1CCN)O)O.Cl
342,Doravirine,Compound(58460047),425.7,C17H11ClF3N5O3,CN1C(=NNC1=O)CN2C=CC(=C(C2=O)OC3=CC(=CC(=C3)C#N)Cl)C(F)(F)F
343,Dorzolamide,Compound(5284549),324.4,C10H16N2O4S3,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C
344,Dosulepin Hydrochloride,Compound(9884029),331.9,C19H22ClNS,CN(C)CCC=C1C2=CC=CC=C2CSC3=CC=CC=C31.Cl
345,Doxapram Hydrochloride,Compound(64647),415.0,C24H31ClN2O2,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4.Cl
346,Doxazosin,Compound(3157),451.5,C23H25N5O5,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
347,Doxepin,Compound(667477),279.4,C19H21NO,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31
348,Doxorubicin Hydrochloride,Compound(443939),580.0,C27H30ClNO11,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl
349,Doxycycline,Compound(54671203),444.4,C22H24N2O8,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
351,Dronedarone,Compound(208898),556.8,C31H44N2O5S,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC
352,Droperidol,Compound(3168),379.4,C22H22FN3O2,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
354,Duloxetine,Compound(60835),297.4,C18H19NOS,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
355,Dutasteride,Compound(6918296),528.5,C27H30F6N2O2,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C
356,Econazole Nitrate,Compound(68589),444.7,C18H16Cl3N3O4,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl.[N+](=O)(O)[O-]
357,Edoxaban,Compound(10280735),548.1,C24H30ClN7O4S,CN1CCC2=C(C1)SC(=N2)C(=O)NC3CC(CCC3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C
358,Efavirenz,Compound(64139),315.67,C14H9ClF3NO2,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F
359,Eflornithine,Compound(3009),182.17,C6H12F2N2O2,C(CC(C(F)F)(C(=O)O)N)CN
360,Eletriptan,Compound(77993),382.5,C22H26N2O2S,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4
361,Eliglustat,Compound(23652731),404.5,C23H36N2O4,CCCCCCCC(=O)NC(CN1CCCC1)C(C2=CC3=C(C=C2)OCCO3)O
362,Eltrombopag,Compound(135449332),442.5,C25H22N4O4,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C
363,Elvitegravir,Compound(5277135),447.9,C23H23ClFNO5,CC(C)C(CO)N1C=C(C(=O)C2=C1C=C(C(=C2)CC3=C(C(=CC=C3)Cl)F)OC)C(=O)O
364,Empagliflozin,Compound(11949646),450.9,C23H27ClO7,C1COCC1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)Cl
365,Emtricitabine,Compound(60877),247.25,C8H10FN3O3S,C1C(OC(S1)CO)N2C=C(C(=NC2=O)N)F
366,Enalapril Maleate,Compound(5388961),492.5,C24H32N2O9,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O.C(=CC(=O)O)C(=O)O
367,Encorafenib,Compound(50922675),540.0,C22H27ClFN7O4S,CC(C)N1C=C(C(=N1)C2=C(C(=CC(=C2)Cl)NS(=O)(=O)C)F)C3=NC(=NC=C3)NCC(C)NC(=O)OC
370,Enoximone,Compound(53708),248.3,C12H12N2O2S,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC
371,Entacapone,Compound(5281081),305.29,C14H15N3O5,CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N
372,Entecavir,Compound(135398508),277.28,C12H15N5O3,C=C1C(CC(C1CO)O)N2C=NC3=C2N=C(NC3=O)N
